date,price
2018-06-01 00:00,1.326255
2018-06-01 00:01,1.32622
2018-06-01 00:02,1.326205
2018-06-01 00:03,1.3262075
2018-06-01 00:04,1.326215
2018-06-01 00:06,1.32622
2018-06-01 00:07,1.32619
2018-06-01 00:08,1.32623
2018-06-01 00:09,1.3261175
2018-06-01 00:10,1.3260475
2018-06-01 00:12,1.32603
2018-06-01 00:13,1.32611
2018-06-01 00:14,1.32618
2018-06-01 00:15,1.326225
2018-06-01 00:16,1.3262725
2018-06-01 00:17,1.326265
2018-06-01 00:18,1.326235
2018-06-01 00:19,1.3262225
2018-06-01 00:20,1.32618
2018-06-01 00:21,1.3261625
2018-06-01 00:22,1.326165
2018-06-01 00:23,1.326155
2018-06-01 00:24,1.32614
2018-06-01 00:25,1.32607
2018-06-01 00:26,1.3261175
2018-06-01 00:27,1.3261975
2018-06-01 00:28,1.3261975
2018-06-01 00:29,1.3261225
2018-06-01 00:30,1.3261975
2018-06-01 00:31,1.326195
2018-06-01 00:32,1.326215
2018-06-01 00:33,1.3262
2018-06-01 00:34,1.32622
2018-06-01 00:35,1.32621
2018-06-01 00:36,1.3261375
2018-06-01 00:37,1.3261
2018-06-01 00:38,1.3260975
2018-06-01 00:39,1.326095
2018-06-01 00:40,1.32615
2018-06-01 00:41,1.32617
2018-06-01 00:42,1.32615
2018-06-01 00:43,1.326135
2018-06-01 00:44,1.3262025
2018-06-01 00:45,1.3263
2018-06-01 00:46,1.326315
2018-06-01 00:47,1.32634
2018-06-01 00:48,1.3262875
2018-06-01 00:49,1.326255
2018-06-01 00:50,1.32626
2018-06-01 00:51,1.326115
2018-06-01 00:52,1.3260125
2018-06-01 00:53,1.325995
2018-06-01 00:54,1.3260225
2018-06-01 00:55,1.326025
2018-06-01 00:56,1.32601
2018-06-01 00:57,1.3260025
2018-06-01 00:58,1.3260825
2018-06-01 00:59,1.3261675
2018-06-01 01:00,1.32624
2018-06-01 01:01,1.3262925
2018-06-01 01:02,1.3263
2018-06-01 01:03,1.326205
2018-06-01 01:04,1.3260375
2018-06-01 01:05,1.325945
2018-06-01 01:06,1.3257225
2018-06-01 01:07,1.3257275
2018-06-01 01:08,1.3257125
2018-06-01 01:09,1.3256425
2018-06-01 01:10,1.3257325
2018-06-01 01:11,1.325795
2018-06-01 01:12,1.3258175
2018-06-01 01:13,1.3258375
2018-06-01 01:14,1.32586
2018-06-01 01:15,1.325905
2018-06-01 01:16,1.32601
2018-06-01 01:17,1.3260975
2018-06-01 01:18,1.32618
2018-06-01 01:19,1.3262425
2018-06-01 01:20,1.3262475
2018-06-01 01:21,1.326295
2018-06-01 01:22,1.32635
2018-06-01 01:23,1.32636
2018-06-01 01:24,1.326295
2018-06-01 01:25,1.3262925
2018-06-01 01:26,1.3263775
2018-06-01 01:27,1.3263725
2018-06-01 01:28,1.3264025
2018-06-01 01:29,1.326475
2018-06-01 01:30,1.32647
2018-06-01 01:31,1.3264825
2018-06-01 01:32,1.3265725
2018-06-01 01:33,1.326595
2018-06-01 01:34,1.326505
2018-06-01 01:35,1.3264375
2018-06-01 01:36,1.326415
2018-06-01 01:37,1.3265
